Element,Z,A,N,E2_1,E4_1,E6_1,R4_2,R6_2
Xe,54,124,70,354.03,878.92,1548.46,2.4826144677004773,4.373810129085106
Xe,54,126,72,388.632,942.0,1634.99,2.4238868646946212,4.207039049795179
Xe,54,128,74,442.911,1033.149,1737.29,2.332633418452014,3.922435884410186
Xe,54,130,76,536.068,1204.614,1944.14,2.2471290955625034,3.6266667661565326
Xe,54,132,78,667.715,1440.323,2111.88,2.1570924720876423,3.1628464239982628
Xe,54,134,80,847.041,1731.17,2136.61,2.0437853657615155,2.522439881894737
Xe,54,136,82,1313.06,1694.42,1891.74,1.2904360806056083,1.4407110109210548
